title,price,Model:,Màu sắc:,Nhà sản xuất:,Xuất xứ:,Năm ra mắt :,Thời gian bảo hành:,Địa điểm bảo hành:,Công suất:,Khối lượng quần áo:,Bảng điều khiển:,Chế độ giặt:,Loại máy giặt:,Khối lượng sản phẩm (kg):,Kích thước sản phẩm:
Tủ chăm sóc quần áo thông minh LG Styler S3WF Trắng,37.000.000đ, S3WF , Trắng , LG , Hàn Quốc , 2019 , 12 tháng , Nguyễn Kim , 1500 W , 5.2 kg ," Màn hình LCD, phím bấm cảm ứng "," Chế độ Refresh: Khử mùi, làm mới quần áo; Sanitary: Tiệt trùng không sử dụng hoá chất; Gentle Dry: Làm khô quần áo nhẹ nhàng nhanh gấp 21 lần; Special care: chế độ chăm sóc đặc biệt ", Styler , 60 kg , 445 × 1850 × 585 mm 
Máy giặt Samsung Inverter 10 kg WW10TP44DSB,13.690.000đ, WW10TP44DSB , Đen , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ giặt , Cửa trước , 68 kg , 600 x 850 x 550 mm 
Máy giặt Panasonic Inverter 14 kg NA-FD14V1BRV,17.090.000đ, NA-FD14V1BRV , Đen , Panasonic , Việt Nam , 2021 , 2 năm/ 12 năm động cơ , Nguyễn Kim ,,,," 10 chương trình (có giặt thường, giặt nhanh, giặt tiết kiệm nước, giặt vải mỏng, giặt ngâm, giặt chăn mền, giặt đồ trẻ em, vệ sinh lồng giặt, sấy gió 90', chống xoắn rối) ", Cửa trên , 51 kg , 554 × 618 × 1050 mm 
Máy giặt Samsung Inverter 12 kg WW12TP94DSB,19.790.000đ, WW12TP94DSB , Đen , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ , Cửa trước , 76 kg , 600 x 850 x 650 mm 
Máy giặt Panasonic Inverter 9 kg NA-V90FX1LVT,12.890.000đ, NA-V90FX1LVT , Xám , Panasonic , Việt Nam , 2019 ," 2 năm, 12 năm động cơ ", Nguyễn Kim , 1740W ,,," 15 chương trình (có giặt đồ cotton, giặt hàng ngày, giặt sợi tổng hợp, giặt nhẹ, giặt chăn, giặt đồ cotton dày, giặt nhanh 38 phút, giặt nhanh 15 phút, giặt ngâm, giặt ngừa dị ứng, bùn đất, nước sốt, cổ và tay áo, giặt tăng cường, vệ sinh lồng giặt) ", Cửa trước , 75 kg , 600 × 596 × 845 mm 
Máy giặt Casper 9.5 kg WT-95N68BGA,5.290.000đ, WT-95N68BGA , Xám , Casper , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,, 7 , Máy giặt cửa trên ,,
Máy giặt Casper 8.5 kg WT-85N68BGA,4.490.000đ, WT-85N68BGA , Xám , Casper , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,, 7 , Máy giặt cửa trên ,,
Máy giặt Panasonic Inverter 9.5 kg NA-FS95V7LRV,8.990.000đ, NA-FS95V7LRV ,, Panasonic , Việt Nam ,, 24 Tháng , Việt Nam , 5.2 Wh/kg ,,, 8 chương trình , Cửa trên , 40 kg , 1005 x 554 x 618 mm 
Máy giặt Panasonic Inverter 10 kg NA-V10FX1LVT,14.090.000đ, NA-V10FX1LVT , Xám , Panasonic , Việt Nam , 2019 ," 2 năm, 12 năm động cơ ", Nguyễn Kim , 1740W ,,," 15 chương trình (có giặt đồ cotton, giặt hàng ngày, giặt sợi tổng hợp, giặt nhẹ, giặt chăn, giặt đồ cotton dày, giặt nhanh 38 phút, giặt nhanh 15 phút, giặt ngâm, giặt ngừa dị ứng, bùn đất, nước sốt, cổ và tay áo, giặt tăng cường, vệ sinh lồng giặt) ", Cửa trước , 75 kg , 600 × 596 × 845 mm 
Máy giặt sấy Samsung Inverter 14 kg WD14TP44DSB/SV,21.690.000đ, WD14TP44DSB/SV , Đen , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ ,, 80 kg , 600 x 850 x 600 mm 
Máy giặt Aqua 9 kg AQW-FR90GT.S,5.890.000đ, AQW-FR90GT.S , Xám , Aqua , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim , 1450W ,,, 9 chế độ giăt , Máy giặt cửa trên ,,
Máy giặt sấy Panasonic Inverter 10 kg NA-S106FR1BV,23.690.000đ, NA-S106FR1BV , Đen ánh bạc , Panasonic , Việt Nam , 2022 , 2 năm/ 12 năm động cơ , Nguyễn Kim ," 11,9 Wh/kg ",,, 16 chương trình , Máy giặt cửa trước , 70 kg , (RxSxC) 596x585x845 mm 
Máy giặt Electrolux Inverter 11 kg EWF1142R7SB,19.390.000đ, EWF1142R7SB , Xám đen , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2100 W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt Toshiba Inverter 10.5 kg AW-DUK1160HV(SG),8.540.000đ, AW-DUK1160HV(SG) , Xám bạc , Toshiba , Trung Quốc , 2021 , 24 Tháng , Nguyễn Kim , 330W ,,," 8 chương trình giặt: Giặt nhanh, Đồ mỏng, Chương trình đã nhớ, Vệ sinh lồng giặt, Giặt thường, Đồ Jeans, Chăn mềm, Đồ dày ", Máy giặt cửa trên , 39.5 kg , 580 x 610 x 980 mm 
Máy giặt Panasonic 10 kg NA-F100A9DRV,8.090.000đ, NA-F100A9DRV , Xám đen , Panasonic , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim , 485W ,,," 3 Chương trình giặt đặc biệt- Stain Master: Giặt lưu hương (Odour/Aroma+), Giặt Tương/ xì dầu, Giặt bùn đất; 7 chương trình giặt chính: Giặt thường, Giặt nhanh, Giặt đồ mỏng, Giặt tiết kiệm nước, Chăn màn, Vệ sinh lồng giặt, Sấy gió 90 phút ", Máy giặt cửa trên , 36 kg , Ngang 554 - Sâu 61 - Cao 1043 mm 
Máy giặt Panasonic Inverter 16 kg NA-FD16V1BRV,20.090.000đ, NA-FD16V1BRV , Đen , Panasonic , Việt Nam , 2020 , 2 năm/ 12 năm động cơ , Nguyễn Kim ,,,," 10 chương trình (có giặt thường, giặt nhanh, giặt tiết kiệm nước, giặt vải mỏng, giặt ngâm, giặt chăn mền, giặt đồ trẻ em, vệ sinh lồng giặt, sấy gió 90', chống xoắn rối) ", Cửa trên , 51 kg , 554 × 618 × 1050 mm 
Máy giặt Sharp 8.2 kg ES-W82GV-H,5.190.000đ, ES-W82GV-H , Trắng , Sharp , Indonesia ,, 12 tháng , Nguyễn Kim ,,,, 7 chương trình giặt , Máy giặt cửa trên , 29 kg , 620x1031x675 mm 
Máy giặt sấy LG Inverter 10.5 kg FV1450H2B,18.990.000đ, FV1450H2B , Đen , LG , Trung Quốc ,, 24 Tháng , Nguyễn Kim ,,,,, Cửa trước ,, Cao 850 mm - Ngang 550 mm - Sâu 560 mm mm 
Máy giặt Panasonic 9 kg NA-F90A9DRV,7.090.000đ, NA-F90A9DRV , Xám đen , Panasonic , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim , 485W ,,," 3 Chương trình giặt đặc biệt- Stain Master: Giặt lưu hương (Odour/Aroma+), Giặt Tương/ xì dầu, Giặt bùn đất; 7 chương trình giặt chính: Giặt thường, Giặt nhanh, Giặt đồ mỏng, Giặt tiết kiệm nước, Chăn màn, Vệ sinh lồng giặt, Sấy gió 90 phút ", Máy giặt cửa trên , 36 kg , Ngang 554 - Sâu 61 - Cao 1043 mm 
Máy giặt Panasonic Inverter 10.5 kg NA-FD10VR1BV,11.990.000đ, NA-FD10VR1BV , Đen , Panasonic , Việt Nam , 2019 , 24 Tháng , Nguyễn Kim ,,,,, Cửa trên ,,
Máy giặt Panasonic Inverter 11.5 Kg NA-FD11AR1BV,11.990.000đ, NA-FD11AR1BV , Đen , Panasonic , Việt Nam , 2020 , 24 Tháng , Nguyễn Kim ,,,, 10 chế độ giặt , Cửa trên , 40 kg , Rộng 600 mm - Cao 1050 mm - Sâu 672 mm 
Máy giặt Samsung Inverter 9.5 kg WW95T4040CE/SV,8.990.000đ, WW95T4040CE/SV , Trắng , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ , Cửa trước , 65 kg , 600 x 850 x 550 mm 
Máy giặt Electrolux Inverter 9 kg EWF9025BQWA,8.490.000đ, EWF9025BQWA , Trắng , Electrolux , Thái Lan , 2019 , 24 Tháng , Nguyễn Kim ,,,,, Cửa trước , 65 kg , 850 x 600 x 652 mm 
Máy giặt Panasonic 9 kg NA-F90A4BRV,6.090.000đ, NA-F90A4BRV , Đen , Panasonic , Việt Nam , 2020 , 24 Tháng , Nguyễn Kim , 460W ,,, 9 chương trình giặt (Giặt thường Giặt nhanh Giặt đồ mòng Giặt đồ trẻ em Chăn màn Giặt nhẹ Giặt Ngâm Vệ sinh lồng giặt Giặt tiết kiệm nước) , Cửa trên , 36 kg , 554 × 617 × 1015 mm 
Máy giặt Casper Inverter 9.5 kg WF-95I140BGB,7.340.000đ, WF-95I140BGB , Xám , Casper , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000W ,,," 16 chế độ: Intensive, giặt nhanh 15', giặt nhanh 45', đồ lông vũ, đồ len, đồ jeans, đồ thể thao, giặt diệt khuẩn, vắt, vải cotton, vải sợi tổng hợp, đồ hỗn hợp, giặt nước lạnh 20 độ C, chế độ giặt ưa thích, xả & vắt ",, 71 kg , 595 x 615 x 850 mm 
Máy giặt Sharp 10.2 kg ES-W102PV-H,6.790.000đ, ES-W102PV , Bạc Titan , Sharp , Indonesia ,, 12 Tháng , Nguyễn Kim ,,,, 8 chương trình , Cửa trên ,,
Máy giặt sấy LG Inverter 15 kg F2515RTGW,18.990.000đ, F2515RTGW , Trắng , LG , Trung Quốc ,, 24 Tháng , Nguyễn Kim ,,,,,,,
Máy giặt Aqua Inverter 10 kg AQW-DR100ET (S),7.590.000đ, AQW-DR100ET , Xám , Aqua , Việt Nam , 2019 , 24 Tháng , Nguyễn Kim ,,,, 12 chế độ giặt , Cửa trên , 40.5 kg , 1020 x 620 x 650 mm 
Máy giặt LG Inverter 21 kg F2721HTTV,35.900.000đ, F2721HTTV ,, LG , Hàn Quốc ,, 24 Tháng , Nguyễn Kim ,,,, 6 motion DD , Lồng đôi , Lồng lớn: 105kg/ lồng nhỏ: 53kg kg ,
Máy giặt Panasonic Inverter 12.5 kg NA-FD125V1BV,15.090.000đ, NA-FD125V1BV , Đen , Panasonic , Việt Nam , 2021 , 2 năm/ 12 năm động cơ , Nguyễn Kim ,,,," 10 chương trình (có giặt thường, giặt nhanh, giặt tiết kiệm nước, giặt vải mỏng, giặt ngâm, giặt chăn mền, giặt đồ trẻ em, vệ sinh lồng giặt, sấy gió 90', chống xoắn rối) ", Cửa trên , 51 kg , 640x705x1100 mm 
Máy giặt Electrolux Inverter 9 kg EWF9042R7SB,15.590.000đ, EWF9042R7SB , Xám đen , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt Electrolux Inverter 11 kg EWF1142Q7WB,18.390.000đ, EWF1142Q7WB , Trắng , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2100 W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt LG Inverter 11 kg FV1411S5W,11.790.000đ, FV1411S5W , Trắng , LG , Việt Nam ,, 24 Tháng , Nguyễn Kim ,,,,,,, 600 x 850 x 565 mm 
Máy giặt LG Inverter 10 kg FV1410S4P,13.090.000đ, FV1410S4P , Bạc , LG , Việt Nam ,, 24 Tháng , Nguyễn Kim ,,,,,,, 600 x 850 x 565 mm 
Máy giặt Toshiba Inverter 8.5 kg TW-BL95A4V(SS),8.990.000đ, TW-BL95A4V(SS) , Xám bạc , Toshiba , Trung Quốc , 2021 , 24 Tháng , Nguyễn Kim , 1950W ,,," 12 chương trình giặt: Đồ cotton, Greatwaves, Đồ hỗn hợp, Xả và vắt, Chỉ vắt, Vệ sinh lồng giặt, giặt hơi nước, Đồ thể thao, Đồ len, Giặt Tiết kiệm, Giặt 45 phút, Giặt nhanh 15 phút ", Máy giặt cửa trước , 68 kg , 595 x 630 x 850 mm 
Máy giặt sấy Electrolux Inverter 11 kg EWW1142Q7WB,19.990.000đ, EWW1142Q7WB , Trắng , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2100 ,,, 15 Chương trình , Máy giặt cửa trước ,, Rộng 600 mm x Sâu 659 mm x Cao 850 mm mm 
Máy giặt Toshiba Inverter 10.5 kg TW-BL115A2V(SS),11.990.000đ, TW-BL115A2V(SS) , Xám bạc , Toshiba , Trung Quốc , 2021 , 24 Tháng , Nguyễn Kim , 1950W ,,, 13 chế độ giặt , Máy giặt cửa trước , 62 kg , 595 x 605 x 850 mm 
Máy giặt LG Inverter 10 kg FV1410S5W,11.990.000đ, FV1410S5W , Trắng , LG , Việt Nam ,, 24 Tháng , Nguyễn Kim ,,,,,,, 600 x 850 x 565 mm 
Máy giặt Toshiba 9 kg AW-K1000FV(WW),6.940.000đ, AW-K1000FV(WW) , Trắng , Toshiba , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,,, Máy giặt cửa trên , 40 kg , 550 x 565 x 960 mm 
Máy giặt sấy Electrolux Inverter 9 kg EWW9024P5WB,17.490.000đ, EWW9024P5WB , Trắng , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000 ,,, 15 Chương trình , Máy giặt cửa trước ,, Chiều rộng sản phẩm 600 mm X Chiều sâu sản phẩm 659 mm X Chiều cao sản phẩm 850 mm 
Máy giặt Aqua 10 kg AQW-FR101GT.BK,6.490.000đ, AQW-FR101GT.BK , Xám , Aqua , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim , 500W ,,, 9 chế độ giăt , Máy giặt cửa trên ,,
Máy giặt Samsung Inverter 9 kg WA90T5260BY/SV,7.650.000đ, WA90T5260BY/SV , Trắng - Xám , Samsung , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,, 9 chế độ giăt , Cửa trên , 40 kg , 610 x 1050 x 675 mm 
Máy giặt Samsung Inverter 8.5 kg WA85T5160BY/SV,7.090.000đ, WA85T5160BY/SV , Trắng xám , Samsung , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,,, Cửa trên ,,
Máy giặt Panasonic 8.5 kg NA-F85A9DRV,6.390.000đ, NA-F85A9DRV , Xám đen , Panasonic , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim , 485W ,,," 3 Chương trình giặt đặc biệt- Stain Master: Giặt lưu hương (Odour/Aroma+), Giặt Tương/ xì dầu, Giặt bùn đất; 7 chương trình giặt chính: Giặt thường, Giặt nhanh, Giặt đồ mỏng, Giặt tiết kiệm nước, Chăn màn, Vệ sinh lồng giặt, Sấy gió 90 phút ", Máy giặt cửa trên , 36 kg , Ngang 554 - Sâu 61 - Cao 1043 mm 
Máy giặt LG Inverter 8.5 Kg FV1408S4W,9.790.000đ, FV1408S4W , Trắng , LG , Việt Nam , 2020 , 24 Tháng , Nguyễn Kim ,,,, 14 chế độ giặt , Cửa trước , 62 kg , 600 x 850 x 550 mm 
Máy giặt LG Inverter 10 kg FV1410S3B,14.290.000đ, FV1410S3B , Đen , LG , Việt Nam ,, 24 Tháng , Nguyễn Kim ,,,,,,, 600 x 850 x 565 mm 
Máy giặt Samsung Inverter 11 kg WA11T5260BV/SV,9.290.000đ, WA11T5260BV/SV , Đen , Samsung , Thái Lan , 2021 , 24 Tháng , Nguyễn Kim ,,,,, Cửa trên , 41 kg , 610 x 1105 x 675 mm 
Máy giặt Samsung Inverter 8.5 kg WW85T554DAX/SV,10.490.000đ, WW85T554DAX/SV , Xám , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ , Cửa trước ,,
Máy giặt Casper Inverter 10.5 kg WF-105I150BGB,8.490.000đ, WF-105I150BGB , Xám , Casper , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,, 16 , Máy giặt cửa trước ,,
Máy giặt Samsung Inverter 16 Kg WA16R6380BV/SV,11.490.000đ, WA16R6380BV/SV , Đen , Samsung , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,, 13 chế độ giặt , Cửa trên , 45.5 kg , 637 x 1095 x 701 mm 
Máy giặt Samsung Inverter 9 kg WW90TP44DSB,11.490.000đ, WW90TP44DSB , Đen , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,,,, 67 kg , 600 x 850 x 550 mm 
Máy giặt Panasonic Inverter 9.5 kg NA-FD95V1BRV,10.590.000đ, NA-FD95V1BRV , Đen , Panasonic , Việt Nam , 2020 , 2 năm/ 12 năm động cơ , Nguyễn Kim , 1475W ,,," 10 chương trình (có giặt thường, giặt nhanh, giặt tiết kiệm nước, giặt vải mỏng, giặt ngâm, giặt chăn mền, giặt đồ trẻ em, vệ sinh lồng giặt, sấy gió 90', chống xoắn rối) ", Cửa trên , 38 kg , 554 × 618 × 1050 mm 
Máy giặt Sharp 10 kg ES-W100PV-H,6.690.000đ, ES-W100PV , Bạc Titan , Sharp , Indonesia ,, 12 Tháng , Nguyễn Kim ,,,, 8 chương trình , Cửa trên ,,
Máy giặt Aqua Inverter 12 kg AQW-DR120CT (S),10.190.000đ, AQW-DR120CT , Xám , Aqua ,, 2019 , 24 Tháng , Nguyễn Kim ,,,, 12 chế độ giặt , Cửa trên , 49.2 kg , 1045 x 610 x 620 mm 
Máy giặt Panasonic Inverter 9.5 kg NA-FD95X1LRV,9.090.000đ, NA-FD95X1LRV , Xám , Panasonic , Việt Nam , 2020 , 2 năm/ 12 năm động cơ , Nguyễn Kim , 370W ,,," 10 chương trình (có giặt thường, giặt nhanh, giặt tiết kiệm nước, giặt vải mỏng, giặt ngâm, giặt chăn mền, giặt đồ trẻ em, vệ sinh lồng giặt, sấy gió 90', chống xoắn rối) ", Cửa trên , 38 kg , 554 × 618 × 1050 mm 
Máy giặt Toshiba 9 kg AW-H1000GV,5.990.000đ, AW-H1000GV (SB) ,, Toshiba , Thái Lan ,, 24 Tháng , Nguyễn Kim , Giặt: 470W / Vắt: 510W ,,,, Cửa trên , 39 kg , 1031 x 645 x 620 mm 
Máy giặt Casper 7.5 kg WT-75N70BGA,4.190.000đ, WT-75N70BGA , Xám , Casper , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,, 7 , Máy giặt cửa trên ,,
Máy giặt Toshiba Inverter 9.5 Kg TW-BK105G4V(SS),10.490.000đ, TW-BK105G4V(SS) , Thép mạ kẽm , Toshiba , Trung Quốc , 2020 , 24 Tháng , Nguyễn Kim ,,,,, Cửa trước , 71 kg , 595 x 615 x 850 mm 
Máy giặt Toshiba Inverter 8.5 kg TW-BK95S2V(WK),8.490.000đ, TW-BK95S2V(WK) , Trắng , Toshiba , Thái Lan , 2021 , 24 Tháng , Nguyễn Kim ,,,, 16 chương trình giặt , Máy giặt cửa trước , 68 kg , 600 x 595 x 850 mm 
Máy giặt Toshiba Inverter 9 Kg AW-DK1000FV(KK),8.940.000đ, AW-DK1000FV , Đen , Toshiba , Thái Lan , 2020 , 24 Tháng , Nguyễn Kim , 390 W ,,, 12 chương trình , Cửa trên , 40 kg , Cao 960 cm - Ngang 550 mm - Sâu 565 mm mm 
