title,price,Model:,Màu sắc:,Nhà sản xuất:,Xuất xứ:,Năm ra mắt :,Thời gian bảo hành:,Địa điểm bảo hành:,Công suất:,Khối lượng quần áo:,Bảng điều khiển:,Chế độ giặt:,Loại máy giặt:,Khối lượng sản phẩm (kg):,Kích thước sản phẩm:
Máy giặt Toshiba Inverter 9.5 kg TW-BK105S3V (SK),11.940.000đ, BK105S3V , Xám , Toshiba , Trung Quốc ,, 24 Tháng , Nguyễn Kim ,,,, Đa chế độ , Cửa trước , 68 kg , Rộng 595 mm - Sâu 615 mm - Cao 850 mm mm 
Máy giặt sấy Electrolux Inverter 8 kg EWW8023AEWA,11.990.000đ, EWW8023AEWA , Trắng , Electrolux , Thái Lan , 2019 , 24 Tháng , Nguyễn Kim ,,,, 15 chế độ giặt , Cửa trước , 66.5 kg kg , 850 x 600 x 575 mm 
Máy giặt Electrolux Inverter 9 kg EWF9042Q7WB,14.590.000đ, EWF9042Q7WB , Trắng , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt Casper Inverter 8.5 kg WF-85I140BGB,6.890.000đ, WF-85I140BGB , Xám , Casper , Thái Lan , 2021 , 24 Tháng , Nguyễn Kim ,,,, 16 , Máy giặt cửa trước ,,
Máy giặt Aqua Inverter 11 kg AQW-DR110FT.PS,10.690.000đ, AQW-DR110FT.PS , Xám , Aqua , Việt Nam ,, 24 Tháng , Nguyễn Kim , 1450W ,,,,, 40.5 kg ,
Máy giặt Casper Inverter 9.5 kg WT-95I68DGA,5.990.000đ, WT-95I68DGA , Xám , Casper , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,, 7 , Máy giặt cửa trên ,,
Máy giặt LG Inverter 15 kg F2515STGW,18.790.000đ, F2515STGW , Trắng , LG , Trung Quốc ,, 24 Tháng , Nguyễn Kim ,,,,, Cửa trước , 8 kg , 645 x 940 x 770 mm 
Máy giặt Samsung Inverter 9 kg WW90TP44DSH,10.490.000đ, WW90TP44DSH , Trắng , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ giặt ,, 54 kg , 680 x 885 x 700 mm 
Máy giặt Casper Inverter 12.5 kg WF-125I140BGB,9.990.000đ, WF-125I140BGB , Xám , Casper , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,, 16 , Máy giặt cửa trước ,,
Máy giặt Aqua Inverter 9 kg AQD-A900F.S,8.290.000đ, AQD-A900F.S , Xám bạc , Aqua , Trung Quốc ,, 24 Tháng , Nguyễn Kim ,,,, 12 chương trình ,,,
Máy giặt Aqua 12 kg AQW-FR120CT.S,8.190.000đ, AQW-FR120CT.S , Đen/Xám , Aqua , Trung Quốc , 2020 , 24 Tháng , Nguyễn Kim , 1750W ,,, 12 chương trình , Cửa trên ,,
Tủ chăm sóc quần áo thông minh LG Styler S3RF Nâu,37.000.000đ, S3RF , Nâu , LG , Hàn Quốc , 2019 , 12 tháng , Nguyễn Kim , 1500 W , 5.2 kg ," Màn hình LCD, phím bấm cảm ứng "," Chế độ Refresh: Khử mùi, làm mới quần áo; Sanitize: Tiệt trùng không sử dụng hoá chất; Gentle Dry: Làm khô quần áo nhanh gấp 21 lần; Pants Press: Chức năng là hơi quần ", Styler , 62 kg , 445 × 1850 × 585 mm 
Máy giặt Toshiba Inverter 8.5 kg TW-BK95S3V(SK),10.040.000đ, TW-BK95S3V(SK) , Xám bạc , Toshiba , Thái Lan , 2021 , 24 Tháng , Nguyễn Kim ,,,, 16 chương trình giặt , Máy giặt cửa trước , 68 kg , 600 x 595 x 850 mm 
Máy giặt Toshiba 10.5 kg AW-UK1150HV(SG),7.840.000đ, AW-UK1150HV(SG) , Xám bạc , Toshiba , Trung Quốc , 2021 , 24 Tháng , Nguyễn Kim ,,,, 16 chương trình giặt , Máy giặt cửa trên , 41 kg , 580 x 610 x 980 mm 
Máy giặt Samsung Inverter 10 kg WW10TA046AE/SV,8.990.000đ, WW10TA046AE/SV , Trắng , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ , Cửa trước , 65 kg , 600 x 850 x 550 mm 
Máy giặt Whirlpool 15 kg 3LWTW4705FW,21.490.000đ, 3LWTW4705FW , Trắng , Whirlpool , Hoa Kỳ ,, 24 tháng (Sử dụng kinh doanh: 6 tháng) , Nguyễn Kim , 920 W ,,, 11 chế độ giặt , Cửa trên ,, 86 x 648 x 1067 mm 
Máy giặt LG Inverter 11 Kg TH2111SSAB,10.999.000đ, TH2111SSAB , Đen mờ , LG , Thái Lan , 2020 , 24 Tháng , Nguyễn Kim ,,,,, Cửa trên , 38 kg , 540 x 540 x 945 mm 
Máy giặt Whirlpool 15 kg 3LWTW4815FW,22.490.000đ, 3LWTW4815FW , Trắng , Whirlpool , Hoa Kỳ ,, 24 tháng (Sử dụng kinh doanh: 6 tháng) , Nguyễn Kim , 920 W ,,, 12 chế độ giặt , Cửa trên ,, 686 x 648 x 1067 mm 
Máy giặt Panasonic Inverter 10 kg NA-V10FR1BVT,19.490.000đ, NA-V10FR1BVT , Đen ánh bạc , Panasonic , Việt Nam , 2022 , 2 năm/ 12 năm động cơ , Nguyễn Kim ," 13,9 Wh/kg ",,, 16 chế độ giặt , Cửa trước , 69 kg , (RxSxC) 596 x 585 x 845 mm 
Máy giặt Aqua 9 kg AQW-S90CT (H2),4.790.000đ, AQW-S90CT , Xám , Aqua , Việt Nam , 2019 , 24 Tháng , Nguyễn Kim ,,,, 9 Chương trình , Cửa trên , 34.2 kg , 560 x 630 x 986 mm 
Máy giặt sấy Electrolux Inverter 10 kg EWW1024P5WB,17.990.000đ, EWW1024P5WB , Trắng , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000 ,,, 15 Chương trình , Máy giặt cửa trước ,, Rộng 600 mm X Sâu 659 mm X Cao 850 mm 
Máy giặt Sharp Inverter 9.5 kg ES-X95HV-S,7.990.000đ, ES-X95HV-S , Đen , Sharp , Indonesia ,, 12 tháng , Nguyễn Kim ,,,, 9 chương trình giặt , Máy giặt cửa trên ,,
Máy giặt LG Inverter 10.5 kg T2350VSAB,7.290.000đ, T2350VSAB , Đen , LG , Việt Nam ,, 24 Tháng , Nguyễn Kim ,,,,,,, 590 x 960 x 606 mm 
Máy giặt Panasonic Inverter 10.5 kg NA-FD10AR1BV,10.590.000đ, NA-FD10AR1BV , Đen , Panasonic , Việt Nam , 2020 , 24 Tháng , Nguyễn Kim ,,,, 10 chế độ giặt , Cửa trên , 40 kg , Rộng 600 mm - Cao 1050 mm - Sâu 672 mm 
Máy giặt LG Inverter 11.5 kg T2351VSAB,7.890.000đ, T2351VSAB , Đen , LG , Việt Nam ,, 24 Tháng , Nguyễn Kim ,,,,,,, 590 x 960 x 606 mm 
Máy giặt Sharp Inverter 10.5 kg ES-X105HV-S,8.790.000đ, ES-X105HV-S , Đen bạc , Sharp , Indonesia , 2021 , 12 tháng , Nguyễn Kim ,,,, 9 chương trình giặt , Máy giặt cửa trên ,,
Máy giặt Electrolux Inverter 10 kg EWF1042R7SB,16.990.000đ, EWF1042R7SB , Xám đen , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt Electrolux Inverter 8 kg EWF8024P5SB,10.990.000đ, EWF8024P5SB , Xám đen , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt Samsung Inverter 10 kg WA10T5260BY/SV,7.490.000đ, WA10T5260BY/SV , Trắng xám , Samsung , Trung Quốc ,, 24 Tháng , Nguyễn Kim ,,,,, Cửa trên , 41 kg , 1075x610x675 mm 
Máy giặt Electrolux Inverter 10 kg EWF1024P5WB,12.790.000đ, EWF1024P5WB , Trắng , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt Samsung Inverter 8.5 kg WW85T4040CE/SV,8.900.000đ, WW85T4040CE/SV , Trắng , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ , Cửa trước , 67 kg , 600 x 850 x 550 mm 
Máy giặt Electrolux Inverter 9 kg EWF9024P5SB,12.590.000đ, EWF9024P5SB , Xám đen , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt Aqua Inverter 10 kg AQW-DR101GT.BK,7.490.000đ, AQW-DR101GT.BK , Đen Xám , Aqua , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim , 200W ,,,, Máy giặt cửa trên ,,
Máy giặt Electrolux Inverter 9 kg EWF9024P5WB,11.490.000đ, EWF9024P5WB , Trắng , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt LG Inverter 11 kg FV1411S4P,13.890.000đ, FV1411S4P , Bạc , LG , Việt Nam ,, 24 Tháng , Nguyễn Kim ,,,,, Máy giặt cửa trước ,, 600 x 850 x 565 mm 
Máy giặt Panasonic Inverter 9 kg NA-V90FR1BVT,18.390.000đ, NA-V90FR1BVT , Đen ánh bạc , Panasonic , Việt Nam , 2022 , 2 năm/ 12 năm động cơ , Nguyễn Kim ,,,, 16 chế độ giặt , Cửa trước , 69 kg , (RxSxC) 596 x 585 x 845 mm 
Máy giặt Aqua Inverter 9 kg AAQD-D903G.BK,9.690.000đ, AQD-D903G.BK , Đen , Aqua , Việt Nam ,, 24 Tháng , Nguyễn Kim , 1350W ,,, 12 chế độ giặt , Cửa trước ,,
Máy giặt Aqua Inverter 15 kg AQD-DH1500G.PP,32.990.000đ, AQD-DH1500G.PP , Bạc , Aqua , Việt Nam ,, 24 Tháng , Nguyễn Kim , 1950W ,,," 12 Chế độ giặt, 2 chế độ sấy ", Cửa trước ,,
Máy giặt Aqua Inverter 10 kg AQD-DD1001G.PS,12.990.000đ, AQD-DD1001G.PS , Bạc , Aqua , Việt Nam ,, 24 Tháng , Nguyễn Kim , 1450W ,,, 12 chế độ giặt , Cửa trước ,,
Máy giặt Electrolux Inverter 10 kg EWF1042Q7WB,15.990.000đ, EWF1042Q7WB , Trắng , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt Electrolux Inverter 11 kg EWF1141R9SB,23.390.000đ, EWF1141R9SB , Xám đen , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2100 W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt Aqua Inverter 15 kg AQW-DR150UGT.PS,15.790.000đ, AQW-DR150UGT.PS , Đen Xám , Aqua , Trung Quốc , 2021 , 24 Tháng , Nguyễn Kim , 550W ,,, 9 chế độ giăt , Máy giặt cửa trên ,,
Máy giặt sấy Samsung Inverter 9.5 kg WD95T4046CE/SV,11.990.000đ, WD95T4046CE/SV , Trắng , Samsung , Trung Quốc , 2022 , 24 Tháng , Nguyễn Kim ,,,,,, 68 kg , 600 x 850 x 650 mm 
Máy giặt Casper Inverter 10.5 kg WF-105I140BWC,8.590.000đ, WF-105I140BWC , Trắng , Casper , Trung Quốc , 2021 , 24 Tháng , Nguyễn Kim , 2000W ,,," Intensive, giặt nhanh 15', giặt nhanh 45', đồ lông vũ, đồ len, đồ jeans, đồ thể thao, giặt diệt khuẩn, vắt, vải cotton, vải sợi tổng hợp, đồ hỗn hợp, giặt nước lạnh 20 độ C, chế độ giặt ưa thích, Xả & vắt, giặt nước nóng	 ", Máy giặt cửa trước ,,
Máy giặt Aqua Inverter 13 kg AQW-DR130UGT.PS,14.390.000đ, AQW-DR130UGT.PS , Đen Xám , Aqua , Trung Quốc , 2021 , 24 Tháng , Nguyễn Kim , 540W ,,, 8 Chế độ giặt , Máy giặt cửa trên ,,
Máy giặt Aqua Inverter 11 kg AQD-DD1101G.PS,14.490.000đ, AQD-DD1101G.PS , Bạc , Aqua , Việt Nam ,, 24 Tháng , Nguyễn Kim , 1400W ,,, 12 chế độ giặt , Cửa trước ,,
Máy giặt Sharp 9 kg ES-Y90HV-S,6.190.000đ, ES-Y90HV-S , Đen bạc , Sharp , Trung Quốc , 2021 , 12 tháng , Nguyễn Kim ,,,,, Máy giặt cửa trên , 38 kg , 570 x 590 x 924 mm 
Máy giặt Casper Inverter 9.5 kg WF-95I140BWC,7.990.000đ, WF-95I140BWC , Trắng , Casper , Trung Quốc , 2021 , 24 Tháng , Nguyễn Kim , 2000W ,,," Intensive, giặt nhanh 15', giặt nhanh 45', đồ lông vũ, đồ len, đồ jeans, đồ thể thao, giặt diệt khuẩn, vắt, vải cotton, vải sợi tổng hợp, đồ hỗn hợp, giặt nước lạnh 20 độ C, chế độ giặt ưa thích, Xả & vắt, giặt nước nóng	 ", Máy giặt cửa trước ,,
Máy giặt Aqua Inverter 10 kg AQD-A1000G.S,9.890.000đ, AQD-A1000G.S , Bạc , Aqua , Trung Quốc , 2021 , 24 Tháng , Nguyễn Kim , 1750W ,,, Smart dual pray , Máy giặt cửa trước ,,
Máy giặt LG Inverter 11 kg FV1411S3B,15.090.000đ, FV1411S3B , Đen , LG , Việt Nam ,, 24 Tháng , Nguyễn Kim ,,,,, Máy giặt cửa trước ,, 600 x 850 x 615 mm 
Máy giặt Sharp 10 kg ES-Y100HV-S,6.890.000đ, ES-Y100HV-S , Đen , Sharp , Trung Quốc , 2021 , 12 tháng , Nguyễn Kim ,,,,, Máy giặt cửa trên , 38.5 kg , 570 x 590 x 924 mm 
Máy giặt Aqua Inverter 10 kg AQD-A1000G.W,7.490.000đ, AQD-A1000G.W , Trắng , Aqua , Trung Quốc , 2021 , 24 Tháng , Nguyễn Kim , 1750W ,,, Smart dual pray , Máy giặt cửa trước ,, 595 x 560 x 850 mm 
Máy giặt Panasonic Inverter 10 kg NA-V10FC1LVT,16.790.000đ, NA-V10FC1LVT , Xám ánh bạc , Panasonic , Việt Nam , 2022 , 2 năm/ 12 năm động cơ , Nguyễn Kim ," 12,3 Wh/kg ",,, 16 chế độ giặt , Cửa trước , 69 kg , (RxSxC) 596 x 585 x 845 mm 
Máy giặt Electrolux Inverter 10 kg EWF1024P5SB,13.790.000đ, EWF1024P5SB , Xám đen , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt LG Inverter 3.5 kg T2735NWLV,5.490.000đ, T2735NWLV ,, LG , Hàn Quốc ,, 24 Tháng , Nguyễn Kim ,,,, 6 chế độ giặt , Lồng đôi ,,
Máy giặt Aqua 11 kg AQW-FR110GT.PS,9.290.000đ, AQW-FR110GT.PS , Xám , Aqua , Việt Nam ,, 24 Tháng , Nguyễn Kim , 1450W ,,,,, 40.5 kg ,
Máy giặt Toshiba 8 kg AW-K905DV (SG),6.340.000đ, AW-K905DV , Xám bạc , Toshiba , Thái Lan ,, 24 Tháng , Nguyễn Kim ,,,, Đa chế độ , Cửa trên , 37 kg , Rộng 550 mm - Sâu 565 mm - Cao 930 mm mm 
Máy giặt Panasonic 10 kg NA-F100A4BRV,7.090.000đ, NA-F100A4BRV , Đen , Panasonic , Việt Nam , 2020 , 24 Tháng , Nguyễn Kim , 470W ,,, 9 chương trình giặt (Giặt thường Giặt nhanh Giặt đồ mòng Giặt đồ trẻ em Chăn màn Giặt nhẹ Giặt Ngâm Vệ sinh lồng giặt Giặt tiết kiệm nước) , Cửa trên , 36 kg , 554 × 617 × 1015 mm 
Máy giặt LG Inverter 2 kg TG2402NTWW,6.490.000đ, TG2402NTWW ,, LG , Hàn Quốc ,, 24 Tháng , Nguyễn Kim ,,,, 6 chế độ giặt , Lồng đôi ,, 600 x 710 x 360 mm 
Máy giặt SamSung Inverter 10kg WW10TP54DSB,13.690.000đ, WW10TP54DSB , Trắng , Samsung , Việt Nam ,, 24 Tháng , Nguyễn Kim ,,,,, Cửa trước , 67 kg , 600 x 850 x 550 mm 
Máy giặt LG Inverter 15.5 kg T2555VSAB,8.790.000đ, T2555VSAB , Đen , LG , Việt Nam ,, 24 Tháng , Nguyễn Kim ,,,,, Máy giặt cửa trên , 39 kg , 632 x 1020 x 670 mm 
Máy giặt Aqua 9 kg AQW-U91CT (N),5.790.000đ, AQW-U91CT , Vàng kim , Aqua , Việt Nam , 2019 , 24 Tháng , Nguyễn Kim ,,,, 9 Chương trình , Cửa trên , 36.5 kg , 560 x 630 x 1006 mm 
Máy giặt Aqua Inverter 8 kg AQD-A800F.W,6.490.000đ, AQD-A800F.W , Trắng , Aqua , Trung Quốc ,, 24 Tháng , Nguyễn Kim ,,,, 15 Chương trình , Cửa trước , 53.5 kg , 595 x 468 x 850 mm 
Máy giặt Samsung Inverter 9.5 kg WW95TA046AX/SV,8.990.000đ, WW95TA046AX/SV , Xám , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ , Cửa trước , 65 kg , 600 x 850 x 550 mm 
Máy giặt Aqua 8 kg AQW-KS80GT.S,4.890.000đ, AQW-KS80GT.S , Xám , Aqua , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim , 1350W ,,, 8 Chế độ giặt , Máy giặt cửa trên ,,
Máy giặt Electrolux Inverter 9 kg EWF9024BDWB,7.990.000đ, EWF9024BDWB , Trắng , Electrolux , Thái Lan , 2019 , 24 Tháng , Nguyễn Kim ,,,, 15 chế độ giặt , Cửa trước , 71.2 kg , 850 x 600 x 659 mm 
Máy giặt Toshiba Inverter 10.5 Kg TW-BK115G4V(SS),12.490.000đ, TW-BK115G4V(SS) , Thép mạ kẽm , Toshiba , Trung Quốc , 2020 , 24 Tháng , Nguyễn Kim ,,,,, Cửa trước , 74 kg , 595 x 635 x 850 mm 
Máy giặt sấy Samsung Inverter 11 kg WD11T734DBX/SV,17.590.000đ, WD11T734DBX/SV , Đen , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ ,, 76 kg , 600 x 850 x 650 mm 
Máy giặt sấy Samsung Inverter 9.5 kg WD95T754DBX/SV,12.990.000đ, WD95T754DBX/SV , Đen , Samsung , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim ,,,, Nhiều chế độ , Cửa trước , 68 kg kg , 600 x 850 x 650 mm 
Máy giặt Electrolux Inverter 8 kg EWF8024P5WB,9.990.000đ, EWF8024P5WB , Trắng , Electrolux , Thái Lan ,, 24 Tháng , Nguyễn Kim , 2000W ,,, 15 Chương trình , Máy giặt cửa trước ,, 600 mm (R) X 659 mm (S) X 850 mm (C) mm 
Máy giặt Toshiba Inverter 12 kg AW-DUK1300KV(SG),12.040.000đ, AW-DUK1300KV(SG) , Xám bạc , Toshiba , Trung Quốc ,, 24 Tháng , Nguyễn Kim , 480W ,,, 8 Chế độ giặt , Máy giặt cửa trên , 41 kg , 601 x 630 x 1000 mm 
Máy giặt sấy LG Inverter 9 kg FV1409G4V,16.490.000đ, FV1409G4V , Bạc , LG , Việt Nam , 2020 , 24 Tháng , Nguyễn Kim ,,,,, Cửa trước , 69 kg , 600 x 850 x 550 mm 
Máy giặt LG Inverter 9 Kg FV1409S4W,10.990.000đ, FV1409S4W , Trắng , LG , Việt Nam , 2020 , 24 Tháng , Nguyễn Kim ,,,, 14 chế độ giặt , Cửa trước , 62 kg , 600 x 850 x 550 mm 
Máy giặt Aqua 8.5 kg AQW-FR85GT.S,5.890.000đ, AQW-FR85GT.S , Xám , Aqua , Việt Nam , 2021 , 24 Tháng , Nguyễn Kim , 1400W ,,, 9 chế độ giăt , Máy giặt cửa trên ,,
